# Formato: PALABRA|CATEGORIA|pista (la pista es opcional)
# Sin tildes en vocales (la Ñ sí está permitida porque es letra propia).

# --- ANIMALES ---
VENADO|ANIMAL|pariente del ciervo
ZORRO|ANIMAL|astuto y pelirrojo

# --- OBJETOS ---
ABANICO|OBJETO|se abre para dar aire
ALMOHADA|OBJETO|para apoyar la cabeza al dormir
ANCLA|OBJETO|sujeta al barco
BRUJULA|OBJETO|señala al norte
BUFANDA|ROPA|abriga el cuello
CAMPANA|OBJETO|suena en la iglesia
CANDELABRO|OBJETO|sostiene velas
CARTERA|OBJETO|guarda dinero
CEPILLO|OBJETO|desenreda el pelo
CINTURON|ROPA|sujeta el pantalon
COLLAR|OBJETO|joya para el cuello
CORONA|OBJETO|la usa la realeza
CUADERNO|OBJETO|se escribe en sus hojas
CUCHARA|OBJETO|para tomar sopa
DIAMANTE|OBJETO|piedra preciosa muy dura
ESCOBA|OBJETO|para barrer
ESPADA|OBJETO|arma medieval con filo
ESPEJO|OBJETO|refleja imagenes
FAROL|OBJETO|alumbra la calle
FLAUTA|INSTRUMENTO|se sopla
GAFAS|OBJETO|ayudan a ver mejor
GUANTE|ROPA|para las manos
GUITARRA|INSTRUMENTO|seis cuerdas
HACHA|OBJETO|para cortar madera
JARRON|OBJETO|guarda flores
LAMPARA|OBJETO|da luz interior
LAPIZ|OBJETO|tiene grafito y goma
LIBRO|OBJETO|tiene paginas para leer
LLAVE|OBJETO|abre cerraduras
MALETA|OBJETO|para llevar ropa al viajar
MARTILLO|OBJETO|clava clavos
MASCARA|OBJETO|cubre el rostro
MOCHILA|OBJETO|se carga a la espalda
NAVAJA|OBJETO|cuchillo plegable
PARAGUAS|OBJETO|protege de la lluvia
PIANO|INSTRUMENTO|teclas blancas y negras
PINCEL|OBJETO|para pintar
RAQUETA|OBJETO|para golpear pelotas
RELOJ|OBJETO|marca la hora
REVOLVER|OBJETO|arma de seis disparos
SARTEN|OBJETO|para freir
SOMBRERO|ROPA|cubre la cabeza
TAMBOR|INSTRUMENTO|se golpea
TELEFONO|OBJETO|para hablar a distancia
TELESCOPIO|OBJETO|para ver lo lejano
TENEDOR|OBJETO|cubierto con puas
TIJERA|OBJETO|corta papel
TROMPETA|INSTRUMENTO|metal y se sopla
VIOLIN|INSTRUMENTO|de cuerdas, con arco
ZAPATO|ROPA|protege el pie

# --- LUGARES ---
AEROPUERTO|LUGAR|aviones aterrizan ahi
BIBLIOTECA|LUGAR|guarda libros
CASTILLO|LUGAR|donde vivian los reyes
CIRCO|LUGAR|payasos y acrobatas
COCINA|LUGAR|donde se cocina
DESIERTO|LUGAR|seco y caliente
ESCUELA|LUGAR|donde van los niños a aprender
FABRICA|LUGAR|donde se producen cosas
GIMNASIO|LUGAR|para hacer ejercicio
HOSPITAL|LUGAR|atienden enfermos
HOTEL|LUGAR|alojamiento de viajeros
IGLESIA|LUGAR|edificio religioso
ISLA|LUGAR|rodeada de agua
JARDIN|LUGAR|hay flores y plantas
LABERINTO|LUGAR|facil entrar, dificil salir
MERCADO|LUGAR|se compra comida fresca
MUSEO|LUGAR|exhibe obras
OFICINA|LUGAR|se trabaja con papeles
PALACIO|LUGAR|vivienda lujosa real
PARQUE|LUGAR|verde al aire libre
PIRAMIDE|LUGAR|monumento egipcio
PLAYA|LUGAR|arena y mar
PUENTE|LUGAR|cruza un rio
PUERTO|LUGAR|atracan los barcos
RESTAURANTE|LUGAR|se come fuera de casa
TEATRO|LUGAR|se ven obras en vivo
UNIVERSIDAD|LUGAR|para estudios superiores
VOLCAN|LUGAR|montaña con lava
ZOOLOGICO|LUGAR|hay animales en exhibicion

# --- COMIDA ---
AGUACATE|COMIDA|verde y cremoso
AJO|COMIDA|condimento que llora al cortar
ALCACHOFA|COMIDA|hortaliza de hojas
ARROZ|COMIDA|grano blanco
AZUCAR|COMIDA|dulce blanca o morena
BANANA|COMIDA|amarilla y curva
CALABAZA|COMIDA|naranja, gigante en otoño
CEBOLLA|COMIDA|hace llorar al cortar
CEREZA|COMIDA|fruta roja pequeña con carozo
CHOCOLATE|COMIDA|hecho con cacao
COCO|COMIDA|cae de la palmera
FRAMBUESA|COMIDA|fruta roja pequeña
FRESA|COMIDA|fruta roja con puntitos
GALLETA|COMIDA|crujiente y dulce
HELADO|COMIDA|postre frio
JAMON|COMIDA|carne curada de cerdo
LECHUGA|COMIDA|hoja de ensalada
LIMON|COMIDA|amarillo y acido
MANZANA|COMIDA|fruta roja o verde
MELOCOTON|COMIDA|fruta naranja con pelusa
NARANJA|COMIDA|citrico naranja
PIZZA|COMIDA|italiana con queso
QUESO|COMIDA|hecho con leche
SANDIA|COMIDA|verde por fuera, roja por dentro
TOMATE|COMIDA|fruta roja, base de salsas
UVA|COMIDA|en racimo, para vino
YOGUR|COMIDA|lacteo fermentado
ZANAHORIA|COMIDA|naranja y crujiente

# --- NATURALEZA ---
AMANECER|NATURALEZA|inicio del dia
ATARDECER|NATURALEZA|fin del dia
BOSQUE|NATURALEZA|lleno de arboles
CASCADA|NATURALEZA|caida de agua
CIELO|NATURALEZA|azul de dia
COMETA|NATURALEZA|cuerpo celeste con cola
ESTRELLA|NATURALEZA|brilla de noche
GALAXIA|NATURALEZA|conjunto de estrellas
HORIZONTE|NATURALEZA|donde cielo y tierra se juntan
HURACAN|NATURALEZA|tormenta gigante con vientos
LUNA|NATURALEZA|satelite de la tierra
MONTAÑA|NATURALEZA|elevacion enorme
NEBLINA|NATURALEZA|nube baja
NIEVE|NATURALEZA|copos blancos
NUBE|NATURALEZA|flota en el cielo
OCEANO|NATURALEZA|gran masa de agua salada
OTOÑO|NATURALEZA|hojas caen
PLANETA|NATURALEZA|orbita una estrella
RELAMPAGO|NATURALEZA|destello del cielo
RIO|NATURALEZA|cauce de agua dulce
TORMENTA|NATURALEZA|lluvia con truenos
UNIVERSO|NATURALEZA|todo lo que existe
VIENTO|NATURALEZA|aire en movimiento

# --- PROFESIONES ---
ABOGADO|PROFESION|defiende en juicios
ARQUITECTO|PROFESION|diseña edificios
ASTRONAUTA|PROFESION|viaja al espacio
BOMBERO|PROFESION|apaga incendios
CARPINTERO|PROFESION|trabaja la madera
CIENTIFICO|PROFESION|hace experimentos
DENTISTA|PROFESION|cuida los dientes
ELECTRICISTA|PROFESION|instala cables
ENFERMERA|PROFESION|asiste a los enfermos
FOTOGRAFO|PROFESION|hace fotos
INGENIERO|PROFESION|diseña sistemas y maquinas
MAESTRO|PROFESION|enseña a niños
MARINERO|PROFESION|trabaja en barcos
MEDICO|PROFESION|cura enfermedades
PANADERO|PROFESION|hornea pan
PERIODISTA|PROFESION|escribe noticias
PILOTO|PROFESION|conduce aviones
PINTOR|PROFESION|pinta cuadros o paredes
POLICIA|PROFESION|mantiene el orden
PROGRAMADOR|PROFESION|escribe codigo
SOLDADO|PROFESION|sirve en el ejercito

# --- DEPORTES ---
AJEDREZ|DEPORTE|tablero de 64 casillas
ATLETISMO|DEPORTE|carrera y salto
BALONCESTO|DEPORTE|encestar en aro alto
BEISBOL|DEPORTE|bate y guantes
BOXEO|DEPORTE|guantes en el ring
CICLISMO|DEPORTE|en bicicleta
ESGRIMA|DEPORTE|con florete
FUTBOL|DEPORTE|el deporte rey
GIMNASIA|DEPORTE|coreografias y agilidad
GOLF|DEPORTE|pelota chica en el hoyo
JUDO|DEPORTE|marcial japones
KARATE|DEPORTE|marcial con golpes y kata
NATACION|DEPORTE|en la piscina
PATINAJE|DEPORTE|sobre hielo o ruedas
RUGBY|DEPORTE|pelota ovalada
TENIS|DEPORTE|raqueta y red
VOLEIBOL|DEPORTE|red, sin tocar el suelo

# --- VEHICULOS ---
AMBULANCIA|VEHICULO|transporta heridos
AUTOBUS|VEHICULO|transporte publico urbano
AVION|VEHICULO|vuela con motores
BARCO|VEHICULO|cruza mares
CAMION|VEHICULO|transporta carga pesada
COCHE|VEHICULO|cuatro ruedas
COHETE|VEHICULO|llega al espacio
GLOBO|VEHICULO|sube con aire caliente
HELICOPTERO|VEHICULO|tiene helices arriba
LANCHA|VEHICULO|bote a motor
MOTOCICLETA|VEHICULO|dos ruedas a motor
PATINETE|VEHICULO|se empuja con un pie
SUBMARINO|VEHICULO|navega bajo el mar
TRACTOR|VEHICULO|de campo
TRINEO|VEHICULO|se desliza sobre nieve
VELERO|VEHICULO|barco con velas
YATE|VEHICULO|barco de lujo

# --- CUERPO ---
BRAZO|CUERPO|de hombro a mano
CABEZA|CUERPO|contiene el cerebro
CADERA|CUERPO|une el tronco y la pierna
CEREBRO|CUERPO|piensa por nosotros
CODO|CUERPO|articulacion del brazo
CORAZON|CUERPO|bombea sangre
ESPALDA|CUERPO|atras del torso
ESTOMAGO|CUERPO|digiere comida
GARGANTA|CUERPO|por donde pasa la voz
HOMBRO|CUERPO|une brazo y torso
LENGUA|CUERPO|saborea
PESTAÑA|CUERPO|pelitos del parpado
PULMON|CUERPO|para respirar
RODILLA|CUERPO|articulacion de la pierna
TOBILLO|CUERPO|une pie y pierna

# --- ROPA ---
ABRIGO|ROPA|para el frio
BLUSA|ROPA|camisa femenina
CAMISA|ROPA|con botones al frente
CAMISETA|ROPA|de manga corta
CHALECO|ROPA|sin mangas
CHAQUETA|ROPA|abrigo corto
FALDA|ROPA|se usa de cintura abajo
PANTALON|ROPA|cubre piernas
PIJAMA|ROPA|para dormir
SUDADERA|ROPA|deportiva con capucha
VESTIDO|ROPA|prenda femenina entera

# --- MITOLOGIA ---
CENTAURO|MITOLOGIA|mitad hombre mitad caballo
CICLOPE|MITOLOGIA|un solo ojo
DRAGON|MITOLOGIA|reptil que escupe fuego
DUENDE|MITOLOGIA|criatura pequeña traviesa
ELFO|MITOLOGIA|orejas puntiagudas
FANTASMA|MITOLOGIA|espiritu de un muerto
GIGANTE|MITOLOGIA|enorme y poderoso
HADA|MITOLOGIA|pequeña con alas y varita
MINOTAURO|MITOLOGIA|hombre con cabeza de toro
MOMIA|MITOLOGIA|cadaver vendado
PEGASO|MITOLOGIA|caballo alado
SIRENA|MITOLOGIA|mujer pez
UNICORNIO|MITOLOGIA|caballo con cuerno
VAMPIRO|MITOLOGIA|chupa sangre
ZOMBIE|MITOLOGIA|muerto que camina
