# Format: WORD|CATEGORY|hint (hint is optional)

# --- ANIMALS ---
MASK|OBJECT|covers the face
MIRROR|OBJECT|reflects you
NEEDLE|OBJECT|small and sharp, for sewing
NOTEBOOK|OBJECT|paper bound together
PAINTBRUSH|OBJECT|spreads color
PENCIL|OBJECT|graphite with eraser
PIANO|INSTRUMENT|black and white keys
PILLOW|OBJECT|soft, for sleeping
RACKET|OBJECT|hits a ball with strings
ROPE|OBJECT|braided fiber
SCISSORS|OBJECT|two blades, cuts paper
SHOVEL|OBJECT|digs holes
SPOON|OBJECT|scoops liquid
SUITCASE|OBJECT|for travel clothes
SWORD|OBJECT|sharp medieval blade
TELESCOPE|OBJECT|view things far away
TROMBONE|INSTRUMENT|slides to change pitch
TRUMPET|INSTRUMENT|brass, you blow
UMBRELLA|OBJECT|shields from rain
VIOLIN|INSTRUMENT|four strings, with a bow
ZIPPER|OBJECT|joins two halves of cloth

# --- PLACES ---
AIRPORT|PLACE|planes land here
BEACH|PLACE|sand and waves
BRIDGE|PLACE|crosses a river
CASTLE|PLACE|kings used to live there
CAVE|PLACE|underground hollow
CHURCH|PLACE|religious building
CITY|PLACE|big urban area
DESERT|PLACE|dry and hot
FACTORY|PLACE|things are made here
FOREST|PLACE|full of trees
GARDEN|PLACE|flowers grow here
GLACIER|PLACE|river of ice
HARBOR|PLACE|ships dock here
HOSPITAL|PLACE|where the sick are treated
HOTEL|PLACE|where travelers sleep
ISLAND|PLACE|surrounded by water
JUNGLE|PLACE|dense tropical forest
KITCHEN|PLACE|where food is cooked
LIBRARY|PLACE|keeps books
MEADOW|PLACE|open grassy field
MOUNTAIN|PLACE|huge elevation
MUSEUM|PLACE|displays art and history
OCEAN|PLACE|huge salt water body
OFFICE|PLACE|paper work happens here
PALACE|PLACE|royal residence
PARK|PLACE|green public space
PYRAMID|PLACE|Egyptian monument
RESTAURANT|PLACE|you eat out here
RIVER|PLACE|fresh water flowing
SCHOOL|PLACE|where kids learn
SWAMP|PLACE|muddy wetland
THEATER|PLACE|live shows
UNIVERSITY|PLACE|higher learning
VALLEY|PLACE|low land between hills
VOLCANO|PLACE|mountain that erupts
WATERFALL|PLACE|water plunges down

# --- FOOD ---
APPLE|FOOD|red or green fruit
AVOCADO|FOOD|creamy green
BACON|FOOD|fried pig strips
BANANA|FOOD|yellow and curved
BREAD|FOOD|baked from flour
BURGER|FOOD|meat patty in a bun
CABBAGE|FOOD|round leafy vegetable
CARROT|FOOD|orange and crunchy
CHEESE|FOOD|made from milk
CHERRY|FOOD|small red fruit with pit
CHOCOLATE|FOOD|made from cocoa
COCONUT|FOOD|hairy hard shell, white inside
COOKIE|FOOD|sweet baked treat
CUCUMBER|FOOD|long green salad veg
GARLIC|FOOD|smelly cooking bulb
GRAPE|FOOD|grows in clusters
HAM|FOOD|cured pork
ICECREAM|FOOD|cold sweet treat
LEMON|FOOD|yellow and sour
LETTUCE|FOOD|leafy salad base
MUSHROOM|FOOD|grows in shade
ONION|FOOD|makes you cry
ORANGE|FOOD|orange citrus
PEACH|FOOD|fuzzy stone fruit
PINEAPPLE|FOOD|spiky tropical fruit
PIZZA|FOOD|Italian round with cheese
POTATO|FOOD|grows underground
PUMPKIN|FOOD|big orange autumn squash
RASPBERRY|FOOD|small bumpy red fruit
SPAGHETTI|FOOD|long thin pasta
STRAWBERRY|FOOD|red with tiny seeds
SUGAR|FOOD|sweet white grains
TOMATO|FOOD|red fruit, sauce base
WATERMELON|FOOD|green outside, red inside
YOGURT|FOOD|fermented dairy

# --- NATURE ---
AUTUMN|NATURE|leaves fall
BLIZZARD|NATURE|snowstorm with wind
CLOUD|NATURE|floats in the sky
COMET|NATURE|icy body with a tail
ECLIPSE|NATURE|sun or moon goes dark
GALAXY|NATURE|cluster of stars
HORIZON|NATURE|where sky meets land
HURRICANE|NATURE|giant tropical storm
ICEBERG|NATURE|floating chunk of ice
LIGHTNING|NATURE|sky flash
MOON|NATURE|earth's satellite
NEBULA|NATURE|cosmic cloud
PLANET|NATURE|orbits a star
RAINBOW|NATURE|colored arc after rain
SKY|NATURE|blue by day
SNOW|NATURE|white flakes
STAR|NATURE|shines at night
STORM|NATURE|rain plus thunder
SUNRISE|NATURE|start of the day
SUNSET|NATURE|end of the day
THUNDER|NATURE|sound after lightning
TORNADO|NATURE|spinning funnel of wind
UNIVERSE|NATURE|everything that exists
WIND|NATURE|moving air

# --- PROFESSIONS ---
ACTOR|PROFESSION|plays roles
ARCHITECT|PROFESSION|designs buildings
ASTRONAUT|PROFESSION|travels to space
BAKER|PROFESSION|makes bread
BLACKSMITH|PROFESSION|hammers iron
CARPENTER|PROFESSION|works wood
CHEF|PROFESSION|cooks at restaurants
DENTIST|PROFESSION|cares for teeth
DOCTOR|PROFESSION|heals the sick
ELECTRICIAN|PROFESSION|installs wiring
ENGINEER|PROFESSION|designs systems
FIREFIGHTER|PROFESSION|puts out fires
GARDENER|PROFESSION|tends plants
JOURNALIST|PROFESSION|writes news
JUDGE|PROFESSION|rules in court
LAWYER|PROFESSION|defends in court
MUSICIAN|PROFESSION|plays instruments
NURSE|PROFESSION|cares for patients
PAINTER|PROFESSION|paints walls or art
PHOTOGRAPHER|PROFESSION|captures images
PILOT|PROFESSION|flies aircraft
PROGRAMMER|PROFESSION|writes code
SAILOR|PROFESSION|works on ships
SOLDIER|PROFESSION|serves in the army
TEACHER|PROFESSION|teaches students

# --- SPORTS ---
ARCHERY|SPORT|shoot with bow and arrow
ATHLETICS|SPORT|track and field
BASEBALL|SPORT|bat and mitt
BASKETBALL|SPORT|net up high
BOXING|SPORT|gloves in a ring
CHESS|SPORT|64 squares
CYCLING|SPORT|on a bike
FENCING|SPORT|sword sport
FOOTBALL|SPORT|the global one with a ball
GOLF|SPORT|small ball into hole
GYMNASTICS|SPORT|tumbling and beams
HOCKEY|SPORT|stick and puck
JUDO|SPORT|Japanese martial art
KARATE|SPORT|striking martial art
RUGBY|SPORT|oval ball, tackles
SKATING|SPORT|on ice or wheels
SKIING|SPORT|down snowy slopes
SURFING|SPORT|on ocean waves
SWIMMING|SPORT|in a pool
TENNIS|SPORT|racket and net
VOLLEYBALL|SPORT|net, don't let ball drop

# --- VEHICLES ---
AMBULANCE|VEHICLE|takes the injured
BALLOON|VEHICLE|rises with hot air
BUS|VEHICLE|urban transport
CAR|VEHICLE|four wheels
CARRIAGE|VEHICLE|horse drawn
FERRY|VEHICLE|carries cars over water
HELICOPTER|VEHICLE|rotor on top
MOTORCYCLE|VEHICLE|two motorized wheels
PLANE|VEHICLE|flies with engines
ROCKET|VEHICLE|reaches space
SAILBOAT|VEHICLE|boat with sails
SLED|VEHICLE|slides on snow
SUBMARINE|VEHICLE|travels under water
TRACTOR|VEHICLE|farm machine
TRAIN|VEHICLE|runs on rails
TRUCK|VEHICLE|heavy load carrier
YACHT|VEHICLE|luxury boat

# --- BODY ---
ANKLE|BODY|joins foot and leg
ARM|BODY|shoulder to hand
BRAIN|BODY|thinks for us
ELBOW|BODY|joint in the arm
EYEBROW|BODY|hair above the eye
HEART|BODY|pumps blood
HIP|BODY|joins torso and leg
KIDNEY|BODY|filters blood
KNEE|BODY|joint in the leg
LIVER|BODY|filters and stores
LUNG|BODY|for breathing
SHOULDER|BODY|joins arm and torso
SKULL|BODY|protects the brain
STOMACH|BODY|digests food
THROAT|BODY|voice passes through
THUMB|BODY|opposable digit
TONGUE|BODY|tastes things
WRIST|BODY|joins hand and arm

# --- CLOTHING ---
BLOUSE|CLOTHING|women's shirt
COAT|CLOTHING|for the cold
DRESS|CLOTHING|one piece women's
JACKET|CLOTHING|short coat
PAJAMAS|CLOTHING|for sleeping
PANTS|CLOTHING|covers legs
RAINCOAT|CLOTHING|waterproof
SANDAL|CLOTHING|open shoe
SCARF|CLOTHING|wraps the neck
SHIRT|CLOTHING|buttons up the front
SHOE|CLOTHING|protects the foot
SKIRT|CLOTHING|hangs from waist
SNEAKER|CLOTHING|sports shoe
SOCK|CLOTHING|fits in your shoe
SWEATER|CLOTHING|warm knit top
TSHIRT|CLOTHING|short sleeve top
VEST|CLOTHING|sleeveless top

# --- MYTHOLOGY ---
CENTAUR|MYTHOLOGY|half man half horse
CYCLOPS|MYTHOLOGY|one eye in the middle
DRAGON|MYTHOLOGY|fire breathing reptile
ELF|MYTHOLOGY|pointed ears
FAIRY|MYTHOLOGY|tiny winged being
GHOST|MYTHOLOGY|spirit of the dead
GIANT|MYTHOLOGY|huge being
GNOME|MYTHOLOGY|small earth dweller
GORGON|MYTHOLOGY|snakes for hair
MERMAID|MYTHOLOGY|half woman half fish
MINOTAUR|MYTHOLOGY|man with bull head
MUMMY|MYTHOLOGY|wrapped corpse
OGRE|MYTHOLOGY|big mean fairy tale brute
PEGASUS|MYTHOLOGY|winged horse
PHOENIX|MYTHOLOGY|reborn from its ashes
SIREN|MYTHOLOGY|sings to lure sailors
TROLL|MYTHOLOGY|under-the-bridge creature
UNICORN|MYTHOLOGY|horse with a horn
VAMPIRE|MYTHOLOGY|drinks blood
WITCH|MYTHOLOGY|with broom and hat
WIZARD|MYTHOLOGY|casts spells
ZOMBIE|MYTHOLOGY|walking corpse

# --- SCIENCE ---
ATOM|SCIENCE|tiniest unit of matter
CELL|SCIENCE|basic unit of life
ENERGY|SCIENCE|capacity to do work
ENZYME|SCIENCE|biological catalyst
GRAVITY|SCIENCE|pulls things down
LASER|SCIENCE|coherent light beam
MAGNET|SCIENCE|attracts iron
MICROSCOPE|SCIENCE|see tiny things
MOLECULE|SCIENCE|atoms bonded together
NEUTRON|SCIENCE|neutral particle in atom
ORBIT|SCIENCE|circular path
PROTON|SCIENCE|positive particle in atom
ROBOT|SCIENCE|programmable machine
SATELLITE|SCIENCE|orbits a planet
VACCINE|SCIENCE|trains immunity
